"Maker and Month Wise Data for Chhattisgarh (2026)"

"Maker","2026-Jan","2026-Feb","2026-Mar","2026-Apr","2026-May","2026-Jun","2026-Jul","2026-Aug","2026-Sep","Total"
"RICHFORD ALLIANZ PVT LTD","9","14","14","10","13","13","21","9","0","103"
"ROYAL-ENFIELD (UNIT OF EICHER LTD)","1812","1256","1152","1193","988","1074","1045","957","191","9668"
"SAERA ELECTRIC AUTO PVT LTD","68","65","50","47","34","58","44","49","5","420"
"SAHNIANAND E VEHICLES PVT LTD","26","24","28","35","28","40","31","49","0","261"
"SAKSHAM TRADING COMPANY","0","1","0","0","0","0","0","0","0","1"
"SAME DEUTZ - FAHR INDIA (P) LTD.","0","1","1","0","0","0","0","6","0","8"
"SANY HEAVY INDUSTRY INDIA PVT LTD","0","0","11","14","10","0","1","10","0","46"
"SATHI MOTORS ELECTRIC VEHICLE PVT LTD","13","13","13","10","17","23","24","19","2","134"
"SETH INDUSTRIAL CORPORATION","0","0","0","1","0","0","0","0","0","1"
"SHAKTIMAN AGRO INDUSTRIES","1","1","0","1","0","0","1","0","0","4"
"SHAKTTI CONSTRUCTIONS EQUIPMENT PVT LTD","1","1","0","1","0","0","0","3","0","6"
"SHRI BARSANA E-VEHICLES PVT LTD","0","0","0","1","2","0","2","2","0","7"
"SHRIRAJ ELECTRIC VEHICLES","14","10","9","7","7","11","6","8","0","72"
