"Maker and Month Wise Data for Uttar Pradesh (2026)"

"Maker","2026-Jan","2026-Feb","2026-Mar","2026-Apr","2026-May","2026-Jun","2026-Jul","2026-Aug","2026-Sep","Total"
"WUXI SAIGE ELECTRIC (IMPORTER: DELTA AUTOCORP LLP)","0","0","0","0","0","0","2","0","0","2"
"WUXI TENGHUI (IMPORTER: FLYCON MOTORS)","0","0","0","1","0","0","0","0","0","1"
"WUXI TENGHUI (IMPORTER: NXTMOBILITY ENERGY)","0","0","0","0","15","0","0","0","0","15"
"YAARI AUTOMOBILES PVT LTD","1","4","2","2","0","1","0","4","0","14"
"YC ELECTRIC VEHICLE","733","701","690","772","730","851","881","807","113","6278"
"YOUYAKU ELECTRIC (IMPORTER:KRISHIKA EV INDIA)","1","0","0","1","0","0","0","0","0","2"
"YOUYAKU ELECTRIC (IMPORTER:ONZO EV)","1","0","0","0","0","0","0","0","0","1"
"ZELIO E-MOBILITY LTD","28","22","19","25","35","16","29","24","4","202"
"ZENIAK INNOVATION INDIA LTD","85","57","70","52","52","89","109","86","11","611"
"ZENMO PRIVATE LIMITED","0","0","30","0","0","0","2","0","0","32"
"ZENTHIUM EV PVT LTD","26","10","5","5","7","10","3","0","0","66"
"ZEOPLUS AXIS INDIA PVT. LTD.","232","201","197","179","158","188","232","191","47","1625"
"ZERO 21 RENEWABLE ENERGY SOLUTIONS PVT LTD","1","0","0","0","1","1","0","0","0","3"
"ZHEJIANG CHANGLING (IMPORTER: ADISHWAR AUTO)","1","0","1","3","1","1","6","2","0","15"
"ZHEJIANG MORNI (IMPORTER: ADISHWAR AUTO)","1","0","0","0","0","0","0","1","2","4"
"ZOHAN TRADERS AND BIG METRO","11","18","9","5","17","8","4","15","3","90"
"ZOOMLION INDIA PVT LTD","3","0","0","0","0","0","0","1","0","4"
"ZUPERIA AUTO PVT LTD","14","23","14","13","35","48","65","70","11","293"
