"Maker and Month Wise Data for Uttarakhand (2026)"

"Maker","2026-Jan","2026-Feb","2026-Mar","2026-Apr","2026-May","2026-Jun","2026-Jul","2026-Aug","2026-Sep","Total"
"RENAULT INDIA PVT LTD","49","30","36","47","79","43","39","35","2","360"
"REVOLT INTELLICORP PVT LTD","1","2","4","0","0","0","0","0","0","7"
"RIVER MOBILITY PVT LTD","0","0","0","0","1","0","0","0","0","1"
"ROLLS ROYCE","0","1","0","0","0","0","0","0","0","1"
"ROYAL-ENFIELD (UNIT OF EICHER LTD)","1430","1353","1311","1318","1273","1182","1542","1266","390","11065"
"Rolls Royce Motor (Importer: KUN Motor)","0","1","0","0","0","0","0","0","0","1"
"S S INDUSTRY","0","2","1","0","0","0","1","10","0","14"
"SAERA ELECTRIC AUTO PVT LTD","13","18","11","7","20","8","23","12","4","116"
"SAHNIANAND E VEHICLES PVT LTD","6","13","10","7","10","15","9","10","2","82"
"SAKSHAM TRADING COMPANY","0","4","3","0","0","2","0","0","0","9"
"SAMRAT ELECTRIC VEHICLE","4","5","2","5","3","4","2","1","0","26"
